state,video,seq
0,MM_1,0
0,MM_1,10
0,MM_1,20
0,MM_1,30
0,MM_1,40
0,MM_1,50
0,MM_1,60
0,MM_1,70
0,MM_1,80
0,MM_1,90
0,MM_1,100
0,MM_1,110
0,MM_1,120
0,MM_1,130
0,MM_1,140
0,MM_1,150
0,MM_1,160
0,MM_1,170
0,MM_1,180
0,MM_1,190
0,MM_1,200
0,MM_1,210
0,MM_1,220
0,MM_1,230
0,MM_1,240
0,MM_1,250
0,MM_1,260
0,MM_1,270
0,MM_1,280
0,MM_1,290
0,MM_1,300
0,MM_1,310
0,MM_1,320
0,MM_1,330
0,MM_1,340
0,MM_1,350
0,MM_1,360
0,MM_1,370
0,MM_1,380
0,MM_1,390
0,MM_1,400
0,MM_1,410
0,MM_1,420
0,MM_1,430
0,MM_1,440
0,MM_1,450
0,MM_1,460
0,MM_1,470
0,MM_1,480
0,MM_1,490
0,MM_1,500
0,MM_1,510
0,MM_1,520
0,MM_1,530
0,MM_1,540
0,MM_1,550
0,MM_1,560
0,MM_1,570
0,MM_1,580
0,MM_1,590
0,MM_1,600
0,MM_1,610
0,MM_1,620
0,MM_1,630
0,MM_1,640
0,MM_1,650
0,MM_1,660
0,MM_1,670
0,MM_1,680
0,MM_1,690
0,MM_1,700
0,MM_1,710
0,MM_1,720
0,MM_1,730
0,MM_1,740
0,MM_1,750
0,MM_1,760
0,MM_1,770
0,MM_1,780
0,MM_1,790
0,MM_1,800
0,MM_1,810
0,MM_1,820
0,MM_1,830
0,MM_1,840
0,MM_1,850
0,MM_1,860
0,MM_1,870
0,MM_1,880
0,MM_1,890
0,MM_1,900
0,MM_1,910
0,MM_1,920
0,MM_1,930
0,MM_1,940
0,MM_1,950
0,MM_1,960
0,MM_1,970
0,MM_1,980
0,MM_1,990
0,MM_1,1000
0,MM_1,1010
0,MM_1,1020
0,MM_1,1030
0,MM_1,1040
0,MM_1,1050
0,MM_1,1060
0,MM_1,1070
0,MM_1,1080
0,MM_1,1090
0,MM_1,1100
0,MM_1,1110
0,MM_1,1120
0,MM_1,1130
0,MM_1,1140
0,MM_1,1150
0,MM_1,1160
0,MM_1,1170
0,MM_1,1180
0,MM_1,1190
0,MM_1,1200
0,MM_1,1210
0,MM_1,1220
0,MM_1,1230
0,MM_1,1240
0,MM_1,1250
0,MM_1,1260
0,MM_1,1270
0,MM_1,1280
0,MM_1,1290
0,MM_1,1300
0,MM_1,1310
0,MM_1,1320
0,MM_1,1330
0,MM_1,1340
0,MM_1,1350
0,MM_1,1360
0,MM_1,1370
0,MM_1,1380
0,MM_1,1390
0,MM_1,1400
0,MM_1,1410
0,MM_1,1420
0,MM_1,1430
0,MM_1,1440
0,MM_1,1450
0,MM_1,1460
0,MM_1,1470
0,MM_1,1480
0,MM_1,1490
0,MM_1,1500
0,MM_1,1510
0,MM_1,1520
0,MM_1,1530
0,MM_1,1540
0,MM_1,1550
0,MM_1,1560
0,MM_1,1570
0,MM_1,1580
0,MM_1,1590
0,MM_1,1600
0,MM_1,1610
0,MM_1,1620
0,MM_1,1630
0,MM_1,1640
0,MM_1,1650
0,MM_1,1660
0,MM_1,1670
0,MM_1,1680
0,MM_1,1690
0,MM_1,1700
0,MM_1,1710
0,MM_1,1720
0,MM_1,1730
0,MM_1,1740
0,MM_1,1750
0,MM_1,1760
0,MM_1,1770
0,MM_1,1780
0,MM_1,1790
0,MM_1,1800
0,MM_1,1810
0,MM_1,1820
0,MM_1,1830
0,MM_1,1840
0,MM_1,1850
0,MM_1,1860
0,MM_1,1870
0,MM_1,1880
