video, ph_x_ul(upleft), ph_y_ul, ph_x_lr(lowright), ph_y_lr, pic_x_ul, pic_y_ul, pic_x_lr, pic_y_lr
VID_20250603_103606_00000,1022,837,1072,917,263,10,1029,561
VID_20250603_104042_00060,41,969,259,1068,563,291,1078,896
VID_20250603_112056_00000,1105,794,1155,867,391,8,1167,525
VID_20250603_112437_00000,1155,955,1241,1071,379,8,1169,503
VID_20250603_113327_00000,1113,790,1154,864,391,8,1167,525
VID_20250603_113533_00000,1137,865,1237,1066,425,10,1222,383
VID_20250603_103150_00000,448,351,502,382,699,7,1134,435
VID_20250603_103725_00900,227,365,379,425,669,7,1134,435
VID_20250603_111539_00000,482,532,545,564,747,86,1272,643
VID_20250603_112226_00000,270,521,444,608,762,99,1272,681
VID_20250603_112637_00000,486,531,552,564,761,79,1253,688
VID_20250603_112828_00000,493,531,554,565,759,110,1264,663
VID_20250603_113338_00000,270,521,444,608,762,99,1272,681
VID_20250604_133345_00000,474,294,549,332,844,7,1275,403
VID_20250604_135015_00000,488,319,554,359,864,7,1279,559
VID_20250604_140333_00000,508,199,573,236,828,7,1270,329
VID_20250604_153046_00000,515,418,590,451,846,9,1277,577
VID_20250604_153748_00120,278,426,458,500,835,9,1273,605
